,checkins,fan_count,name,lat,lon
98,9723,754,Jurys Inn Prague,50.0918599,14.43947
99,9709,8265,NOVÁ SCÉNA Národního divadla,50.08121,14.41455
100,9708,106,Berlin Holocaust Memorial,50.081719212696,14.428867694398
101,9557,86,"Staroměstské náměstí, Praha",50.0867099,14.42054
102,9515,50092,DOX,50.106937803505,14.447441253589
103,9327,386,Národní divadlo - National Theatre,50.081305105632,14.414347471555
104,9275,281,Petrin Tower - Praha,50.083431686489,14.395055459149
105,9251,387,Letna Beer Gardens,50.095938714321,14.425619204436
106,9248,381,"Kyvadlo, Letná",50.094684724896,14.415956938495
107,9226,933,Pařížská ulice,50.090348987668,14.418788190946
108,9147,23701,Lasergame Praha MaxLasergame,50.072198830832,14.392227823959
109,9065,1890,Icepub Prague,50.0855,14.41397
110,9019,377,ibis Praha Mala Strana,50.072155362259,14.400635994392
111,8933,17010,Museum Kampa,50.08403,14.40847
112,8763,519,Hotel Pyramida,50.085714086695,14.379857401081
113,8656,495,Kampa,50.087222222222,14.408611111111
114,8577,99,Praha Charles Bridge,50.091002804439,14.382326602936
115,8402,391,Staropramen brewery pub,50.068140552823,14.407689560405
116,8296,8320,RockOpera Praha,50.10007,14.44975
117,8275,18142,Studio 54,50.08679,14.43604
118,8202,983,Karlovy Lazne - The Biggest Music Club In Central Europe,50.0854,14.4138
119,8194,11692,Radlická - kulturní sportovna,50.0673904,14.4028997
120,8186,732,The Irish Times Bar Prague,50.08596,14.4165
121,8162,3113,Restaurace Mlýnec,50.0856514,14.4135704
122,8154,275,Strahovský klášter,50.086852526004,14.388575112194
123,8127,1557,Park Inn Hotel Prague,50.067984601184,14.417990114728
124,8120,1703,Celebrity Cafe,50.077398239813,14.440210052018
125,7983,22752,Cafe Palanda,50.090567500479,14.432077564239
126,7962,6084,andel's by Vienna House Prague,50.07121,14.40233
127,7910,9980,Music club&bar PHENOMEN,50.06854,14.40656
128,7811,420,Valdštejnská Zahrada,50.090446444419,14.408219252718
129,7662,302,"Smetana Hall, Prague",50.087626762702,14.42787212005
130,7652,576,Všeobecná Fakultní Nemocnice,50.072995996788,14.421404458527
131,7336,119,Praha-Smichov,50.07435324,14.40891028
132,7290,1956,Praha 2,50.07530630979,14.435133934021
133,7219,38002,Univerzita Karlova v Praze,50.08658,14.42478
134,7018,1969,Kozlovna Apropos,50.087289498357,14.415165567676
135,6919,1141,GRAND HOTEL BOHEMIA,50.0877,14.42659
136,6840,684,Prague Beer Museum,50.0745,14.43629
137,6805,10440,Burgerfest,50.1042786,14.4318104
138,6702,1322,Občanská plovárna,50.092851109545,14.415290012758
139,6689,2454,LOCA restaurant & cafebar,50.085223831675,14.413982655505
140,6672,108,Hlavní nádraží,50.082777777778,14.435555555556
141,6602,630,Charles Bridge Palace,50.08497,14.41482
142,6516,9526,Studio DVA,50.08015,14.42863
143,6372,4017,DCS Club,50.078167647972,14.436191064354
144,6366,1967,Skatepark Štvanice,50.09607,14.44098
145,6333,235,Jiřího z Poděbrad,50.077830277778,14.450295
146,6297,449,Villa Richter,50.092312385794,14.408228505656
147,6214,217,Sparta Praha (Generali Arena),50.099798656961,14.416081067348
148,6196,888,Mořský Svět,50.1057363,14.4323397
149,6196,454,Restaurant Oblaca - Zizkov Tv Tower,50.08126,14.45166
150,6154,179,Karlínské náměstí,50.092790131634,14.446936500249
151,6124,39,Prague Train Station,50.083139590811,14.434950613099
152,6112,1306,Žižkovské Divadlo Járy Cimrmana,50.085652734778,14.449217508709
153,6073,2343,"Augustine, a Luxury Collection Hotel, Prague",50.089053691074,14.406244042664
154,6014,87,"Moldava River, Prague",50.071194168442,14.413920637759
155,6008,2477,Caffreys Irish Bar Prague,50.08836,14.42181
156,5990,192,Tančící Dům - Dancing House,50.075721880937,14.414216254375
157,5976,12328,Klub 007 Strahov,50.080926367734,14.392725321799
158,5963,124,Český Krumlov,50.0901868,14.4509391
159,5928,176,Štvanice,50.095844884372,14.440094738435
160,5851,181,The Strahov Monastic Brewery (klasterni Pivovar),50.0868797,14.3885098
161,5810,1795,Parník Tyrš,50.07045004,14.41383792
162,5766,18661,Prague Food Festival,50.09301235701,14.4020845516
163,5714,148,Prague Castle,50.07908,14.43323
164,5711,224,Florenc,50.091,14.439
165,5683,417,Pražský hrad,50.08917,14.39556
166,5677,290,Petřínské Terasy,50.08378,14.39848
167,5641,15601,Café Neustadt,50.078387718418,14.42118268961
168,5565,1346,Pivovarský dům,50.075590785167,14.42385621911
169,5565,8864,Las Adelitas Americká,50.07155,14.43919
170,5357,51,"John Lennon Wall, Prague",50.08192833,14.41732392
171,5343,5050,Sluneční terasa T-Anker,50.0890999,14.4277
172,5306,20336,Café V lese,50.071438038755,14.448458246029
173,5305,108,Karl's Bridge Prague,50.08446973,14.414938655
174,5293,3144,Zebra asian noodle bar,50.085170052083,14.421344623122
175,5232,82,Most Legií,50.081324846363,14.412347824358
176,5196,12586,Jatka78,50.100033032544,14.446613537606
177,5150,143,"O2 Arena, Prague",50.083726120181,14.433843443522
178,5073,91,Praha Florenc Bus Station,50.089464440641,14.44004322957
179,5071,553,Lokal U Bile Kuzelky,50.0876499,14.40753
180,4969,412,Grosetto Marina Ristorante,50.08937,14.41465
181,4962,112,"Anděl, Praha",50.071220240199,14.40280974312
182,4936,1700,Alchymist Grand Hotel and Spa,50.087576230425,14.400586606874
183,4826,1460,U Kroka,50.06658,14.41783
184,4819,172,Prague Hilton Executive Lounge,50.093328349127,14.439444214932
185,4804,14473,Naše maso,50.09079,14.4269
186,4792,2120,Restaurace MINCOVNA,50.08845,14.42128
187,4765,3904,Parkhotel Praha,50.1023799,14.43169
188,4763,257,Novotel Praha Wenceslas Square,50.0745999,14.42739
189,4736,2861,Club Termix (official),50.077439652949,14.44383103787
190,4689,624,Lobkowicz Palace / Lobkowiczký palác,50.091530207935,14.404680796984
191,4674,1018,Ginger & Fred restaurace v Tančícím domě,50.0754499,14.41419
192,4594,40,"Old Town, Praha",50.089518353978,14.431242901818
193,4570,1317,Pivovar Národní,50.0814,14.41578
194,4542,428,Restaurace Nebozízek,50.08199,14.39879
195,4443,182,Stadion Sparty na Letné,50.099785712257,14.416028064522
196,4389,589,Madame Tussauds Prague,50.0871799,14.42269
197,4381,519,Divadlo U Hasičů,50.076882087124,14.438420746953
198,4358,341,Barceló Praha Five,50.066716907448,14.402399039931
199,4357,1090,Vrtbovská zahrada,50.086911790138,14.40366227221
200,4356,160,Kinského Zahrada,50.077147446293,14.399643010948
201,4326,56,"Old Town Square, Praha",50.071070896429,14.43072424
202,4295,674,Lindner Hotel Prague Castle,50.086016962248,14.387798691582
203,4277,5408,Koupaliště PETYNKA,50.09029856228,14.381622774593
204,4162,106,Palackého náměstí,50.072697485563,14.414261815951
205,4081,2480,Ristorante Italiano Buschetto,50.081392424228,14.427439148333
206,4067,66,Prague Clock Tower,50.086743647963,14.420607369471
207,4033,47,"Golden Lane, Prague Castle",50.091695121064,14.404294234729
208,3995,678,U Krále Brabantského,50.089071788538,14.401589265505
209,3984,63,Praha-Dejvice,50.100032731032,14.390024962711
210,3966,1475,Novoměstská radnice Praha,50.07812,14.4213
211,3959,11712,EMA espresso bar,50.08893,14.43341
212,3953,466,Kolkovna Argentinská,50.1010017,14.4450197
213,3947,139,U Supa,50.0871,14.42442
214,3946,13124,Vysoká škola ekonomická v Praze /VŠE/,50.084372405235,14.441147736906
215,3930,38,Praha Hlavní Nádraží,50.083590969891,14.434172375217
216,3917,4540,Kulaťák - Pilsner Urquell Original Restaurant,50.10048,14.39715
217,3886,673,Holešovická tržnice - Prague market,50.09842,14.44543
218,3873,926,Taverna Olympos,50.0818,14.44678
219,3811,863,Art Nouveau Palace Hotel,50.083930577606,14.427770843735
220,3798,2040,Senát Parlamentu ČR,50.09003,14.40535
221,3776,1588,Hotel Paris Prague,50.088052298218,14.427559676758
222,3765,4652,Na břehu Rhôny,50.068269528522,14.414980766946
223,3713,48,Vlatava River,50.093559039958,14.425202974503
224,3683,751,President Hotel Prague,50.0923299,14.41948
225,3629,8969,The Drunken Monkey Prague,50.091712961479,14.421350902569
226,3623,113,Obecni Dum Hlavniho Mesta Prahy,50.08762,14.42824
227,3622,143,Stadion FK Viktoria Žižkov,50.084484380171,14.444899635715
228,3605,1850,Pivovarský Klub,50.09057,14.4415
229,3582,51,Puente De Carlos Iv - Praga,50.087293126749,14.407107205852
230,3581,714,Disco Karlovy Lazne - Praha,50.070079826012,14.429514265124
231,3572,43,Národní třída Praha,50.081459068928,14.419921517955
